Treebank,Number of Sentences,Failures,Total,advcl,ccomp,nmod,obl,orphan,parataxis,root
ru_taiga-ud-train,16045,0,75,,3.0,2.0,67,,1.0,2.0
ru_taiga-ud-test,881,0,3,,,,3,,,
ru_syntagrus-ud-train,69630,0,312,1.0,,35.0,261,,6.0,9.0
ru_syntagrus-ud-dev,8906,0,22,,,2.0,19,,1.0,
ru_syntagrus-ud-test,8800,0,48,,1.0,3.0,41,1.0,1.0,1.0
ru_poetry-ud-test,728,0,2,,,,2,,,
ru_poetry-ud-dev,789,0,2,,,,2,,,
ru_poetry-ud-train,3569,0,2,,,,2,,,
ru_pud-ud-test,1000,0,9,,,1.0,8,,,
orv_torot-ud-train,20480,0,1,,,,1,,,
ru_gsd-ud-test,601,0,5,,,,5,,,
ru_gsd-ud-dev,579,0,4,,,,4,,,
ru_gsd-ud-train,3850,0,28,,,,27,,,1.0
